DATE,GDP At Current Market Prices,Goods Producing Industries,Accommodation and Food Services,Construction,Utilities,Other Goods Industries,Services Producing Industries,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Finance & Insurance,"Real Estate, Services, Support",Other Services Industries,  Ownership Of Dwellings,  Gross Value Added At Basic Prices,  Add: Taxes On Products
1981 2Q ,16.8,13,13.4,26.8,-20.5,8.8,19.1,3.1,18.6,18.8,17.8,39.5,36.1,15.8,30,17,13.2
1981 1Q ,15.9,12.8,10.6,27.9,-2.1,14.8,17.4,5.9,9.8,19.4,15.7,36.8,36.4,14.5,28.2,15.9,15.8
1980 4Q ,19.5,21.6,19,33.1,26.3,15.2,19.2,8.1,20.9,24.2,20.1,40.1,26.6,14.2,3.5,19.8,11.8
1980 3Q ,21.2,25.6,23.9,32.9,34.7,16.8,19.4,6.6,24.7,28.6,15.9,44,25.9,10.5,3.4,21.3,17.6
1980 2Q ,23.4,31.8,31.6,28.6,48.1,24.7,19.4,10.5,19.3,26.6,22.1,42.1,22.1,11.9,5.6,23.6,18
1980 1Q ,26.2,37.7,44.1,28.9,8.3,21.4,20.9,11.5,24.1,26.6,26.1,43.1,21,13.2,6.7,26.3,24
1979 4Q ,17.5,24.5,28.6,13,16.3,16,13.4,11.9,9.2,22.7,9.2,19.6,16.7,12,10,17.1,25.8
1979 3Q ,16.3,23.2,27.5,10.6,19.9,9,12.7,11.2,8.7,16.9,11.8,20.5,12.8,13.6,10.2,16.3,17.1
1979 2Q ,15.6,21.3,26.3,8.8,13.9,5.7,12.8,10.5,13.2,18.6,13.2,18.8,13.3,9.1,8.3,15.6,16.6
1979 1Q ,11.3,12.9,15.1,5.1,24.1,-2.6,10.5,7.2,11.8,14.5,18.1,16.9,8.9,8.2,8,11.2,13.2
1978 4Q ,14.7,15.5,21.8,0.7,18,-7.3,14.5,8.7,19.9,16.5,30.8,31.1,4.9,11.7,6.1,14.7,14
1978 3Q ,12.5,8.7,15,-11.2,20.6,-4.2,14.8,11,22.4,17.5,35.5,20.7,6.8,9.8,7.9,12.5,14.8
1978 2Q ,10.4,7.4,12.4,-7.7,16.1,-3.9,12.2,7,25.7,15.4,34.7,14.7,4.1,6.7,7.1,10.4,12.3
1978 1Q ,10.6,7.7,13.6,-8.6,18.9,-9.3,12.1,10.4,24.8,17.2,8,11.8,4.9,6.5,8.5,10.5,13.8
1977 4Q ,8.8,6.5,8.1,-0.1,7.3,11.8,10.1,11.2,21.5,14,27.5,-0.6,4.6,4.1,7.8,8.8,10
1977 3Q ,8.5,6.8,10.3,-1.8,3,5.5,8.9,8.9,19.1,13.3,12.5,5.2,2.2,3.7,7,8.1,19.5
1977 2Q ,9.5,9.5,15.2,-2.7,7.4,0.8,9.2,9.4,14.4,13.7,10.5,9,6.9,4,9.9,9.4,12.7
1977 1Q ,9.3,10,13.3,2.5,7.4,6.8,8.8,10.2,13.3,9.4,31.3,2.6,4.9,4.8,8.4,9.2,10.8
1976 4Q ,8.1,6.2,10.7,-1.6,0.7,-5.2,9.1,8.1,20.6,9.7,6.3,10.9,3.8,4.4,7.2,8,9.7
1976 3Q ,9.3,11.3,11.8,12.2,10.2,3.2,8.4,6,17.7,9.3,19.4,11.3,3.6,4,6.2,9.4,6.9
1976 2Q ,9.5,14.4,14.5,17.6,7.9,7.5,6.8,0.9,18,9,16.8,10.2,2.8,7.2,6.9,9.4,12.2
1976 1Q ,10.5,15,13.7,18.9,19.7,10.4,8.2,0.7,25,11.3,2,8.6,7.6,8.8,9.1,10.4,11
